"location_description","vegetation_type","SampNum"
"","Forest",28
"Athelstone","Woodland",4
"Bannister North","Woodland",2
"Beverly <10 cm","Woodland",2
"Blue Tier","Forest",4
"Boddington","Woodland",2
"Bold park <10 cm","Woodland",2
"Booderee","Forest",22
"Border Village","Grassland",2
"Buckley Swamp","Grassland",12
"Burnt Land A","Woodland",2
"Burnt Land B","Woodland",2
"Camp Mountain","Grassland",6
"Cape Tribulation","Forest",6
"Cardinia Creek","Woodland",2
"Cherreninup","Woodland",4
"Chingarrup","Woodland",4
"Chowilla","Forest",4
"City of Playford","Grassland",48
"Coober Pedy","Grassland",2
"Cooljarloo (natural) <10 cm","Woodland",2
"Cooljarloo (trial) <10cm","Woodland",2
"Craigie <10 cm","Woodland",2
"Credo Blackbutt Plot","Woodland",2
"Credo Gimlet Plot","Woodland",2
"Credo Redgum Plot","Woodland",2
"Credo Salmon Gum plot","Woodland",2
"Danbulla","Forest",2
"Deep Creek","Woodland",2
"Derby","Woodland",2
"Devonian","Grassland",2
"Eneabba (natural) <10 cm","Woodland",2
"Eneabba (trial) <10 cm","Woodland",2
"Fisheries Beach","Woodland",30
"Fitzgerald River NP","Woodland",4
"Flinders Rangers","Woodland",4
"Fox Hole Gully B","Forest",2
"Fox Hole Slope A","Forest",2
"Fox Hole Slope B","Forest",2
"Freycinet NP","Woodland",10
"Gingin (natural) <10 cm","Woodland",2
"Gingin (trial) <10cm","Woodland",2
"Gnangara (natural) <10 cm","Woodland",2
"Gnangara (trial-rehab) <10 cm","Woodland",2
"Gundabooka NP","Woodland",2
"Hale Conservation Park","Woodland",2
"Hamersley","Grassland",2
"Hawkesbury","Woodland",56
"Horsnell Gully","Woodland",4
"Huon River","Forest",2
"Island Forest 1 A","Forest",2
"Island Forest 1 B","Forest",2
"Island Forest 2 A","Forest",2
"Island Forest 2 B","Forest",2
"Jandakot <10 cm","Woodland",2
"Kaiserstuhl Conservation Park","Woodland",4
"Kakadu NP","Woodland",10
"Kalbarri <10 cm","Woodland",2
"Karawatha Forest Park","Forest",2
"King Island","Grassland",14
"Kings park <10 cm","Woodland",2
"Kyeema","Woodland",4
"Lakes <10 cm","Woodland",2
"Ledge Point <10 cm","Woodland",2
"Little Yarra River","Woodland",8
"Longerenong","Woodland",2
"Madura","Grassland",2
"Main Creek","Woodland",8
"Moore river <10 cm","Woodland",2
"Mount bold","Woodland",48
"Mt Edith","Forest",2
"Mt Lesueur NP","Woodland",14
"Mt Remarkable National Park","Woodland",8
"Mt. Field NP","Forest",2
"Muchea <10 cm","Woodland",2
"Munni Munni","Grassland",2
"Murdoch <10 cm","Woodland",2
"Myrniong Creek","Woodland",6
"Namadgi NP","Forest",94
"Neerabup <10 cm","Woodland",2
"Nokoleche reserve","Woodland",2
"Oberon Lake","Grassland",2
"Overland Corner","Forest",4
"Paganoni <10 cm","Woodland",2
"Para Woodland","Woodland",20
"Peniup 1","Grassland",6
"Peniup 2","Woodland",2
"Peniup 3","Woodland",2
"Riggs Creek","Grassland",2
"Road Flat A","Forest",2
"Road Flat B","Forest",2
"Rotten Lake","Woodland",2
"Rutherglen","Grassland",2
"Sandy Creek","Woodland",4
"Shed Flat A","Forest",2
"Shed Flat B","Forest",2
"Spring Creek","Woodland",8
"Spring Gully","Woodland",4
"SSS1 Carnarvon Station","Woodland",2
"SSS2 Carnarvon Station","Woodland",2
"Starswamp <10cm","Woodland",2
"Sturt NP","Woodland",2
"Tamworth <10 cm","Woodland",2
"Tanami","Grassland",2
"Tumarumbah","Forest",2
"Uluru","Grassland",32
"Vale of Belvoir","Grassland",4
"Waagi 1 A","Forest",2
"Waagi 1 B","Forest",2
"Waagi 2 A","Forest",2
"Waagi 2 B","Forest",2
"Walpeup","Woodland",2
"Wandi <10 cm","Woodland",2
"War Ridge A","Forest",2
"War Ridge B","Forest",2
"Warwick <10 cm","Woodland",2
"Whitehorse Creek","Forest",6
"Whiteman <10 cm","Woodland",2
"Whroo conservation area","Woodland",2
"Wilbinga grove <10 cm","Woodland",2
"Yanchep <10 cm","Woodland",2
"Yarra River","Forest",8
"Yass TB, Glenrock site","Grassland",6
